?Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gas�leo A,Precio gas�leo Premium,Precio gas�leo B,Precio gas�leo C,Precio bioetanol,Precio biodi�sel,Precio gases licuados del petr�leo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidr�geno,R�tulo,Tipo venta,Rem.,Horario,Tipo servicio,,,,,,
ALBACETE,ALBACETE,ALBACETE,2006,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",N,-1.853306,38.982167,2025-04-28 00:00:00,1449,,,,,1369,,,,,,,,,,INPEALSA,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (P),,,,,,
ALBACETE,ALBACETE,ALBACETE,2006,"AVENIDA 1º DE MAYO, S/N",N,-1.866806,38.985194,2025-04-21 16:27:00,1409,,,,,1359,,,,,,,,,,PETROCAMP,P,dm,L-D: 07:00-23:00,L-D: 07:00-23:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2099,CARRETERA NACIONAL 301 KM. 256,D,-1.831639,38.929389,2025-04-28 00:00:00,1449,,,,,1359,,,,,,,,,,INPEALSA,P,dm,L-D: 24H,"L-S: 00:00-06:00 (D), 06:00-22:00 (P), 22:00-23:59 (D); D: 00:00-07:00 (D), 07:00-22:00 (P), 22:00-23:59 (D)",,,,,,
ALBACETE,ALBACETE,ALBACETE,2004,CARRETERA N-322 KM. 349,D,-1.919778,38.970167,2025-04-28 08:35:00,1539,,,1609,,1499,1559,,,,,,,,,CEPSA,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,SANTA ANA,2328,"AVENIDA PRINCIPE, 2",D,-1.994028,38.900944,2025-05-01 00:00:00,1459,,,1569,,1399,1449,1.11,,,,,,,,REPSOL,P,OM,L-D: 08:00-16:00,L-D: 08:00-16:00 (A),,,,,,
ALBACETE,ALBACETE,SALOBRAL (EL),2140,"CM. 3203 km 14,1",D,-1.9205,38.867556,2025-04-17 13:28:00,1386,,,,,1296,1.86,1.05,,,,,,,,LOZANO,P,dm,L-S: 07:00-14:00, D: 09:00-14:00,Sin datos,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",N,-1.886556,39.021583,2025-04-28 09:59:00,1479,,,,,1369,,,,,,,,,,VALERO 24H,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"AVENIDA 3ª ESQUINA C/ F Nº3, 3",N,-1.885694,39.009417,2025-04-28 10:42:00,1399,,,,,1359,,,,,,,,,,FAST & GAS,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"POLIGONO CAMPOLLANO AVENIDA -0-, 69",D,-1.879639,39.021972,2025-04-22 10:23:00,1539,,,,,1359,,,,,,,,,,ABOIL,P,dm,L-V: 07:00-21:00, S-D: 09:00-14:00,L-V: 07:00-21:00 (P), S-D: 09:00-14:00 (P),,,,
ALBACETE,ALBACETE,ALBACETE,2007,"AVENIDA PRIMERA, S/N",D,-1.882056,39.022139,2025-04-30 15:52:00,1379,,,,,1269,,,,,,,,,,GMOIL,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,AUTOVIA A-31 KM. 69,I,-1.891361,39.031528,2025-05-01 14:00:00,1509,,,1659,,1439,1529,,,,,959,,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"MADRID-CARTAGENA km 248,5",D,-1.845278,38.971722,2025-05-01 00:00:00,1499,,1559,1619,,1429,1499,,,,,,,,,"REPSOL. LOS ANGELES DE LA MANCHA, S.L.",P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"MADRID-CARTAGENA km 248,5",I,-1.845306,38.971778,2025-05-01 00:00:00,1499,,,1619,,1429,1499,,,,,,,,,REPSOL Nº ESTACIÓN 97179,P,OM,L-V: 06:00-22:00,L-V: 06:00-22:00 (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"POLIGONO CAMPOLLANO, 55",N,-1.871361,39.015444,2025-04-28 10:36:00,1489,,,1619,,1419,1469,,,,,,,,,CEPSA,P,dm,L-V: 05:30-23:00, S: 06:30-22:30, D: 07:30-21:00,Sin datos,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",D,-1.874333,39018,2025-04-18 10:30:00,1449,,,1609,,1369,1469,,,,,,,,,ENERCOM CARBURANTES,P,dm,L-D: 24H,L-D: 24H (A),,,,,,
ALBACETE,ALBACETE,ALBACETE,2007,"CARRETERA C-M 332 KM. 2,6",D,-1.831611,38.998111,2025-04-28 01:24:00,1539,,,1679,,1489,1589,1639,,,,,,,,"INLOCOR S.L. ""CEPSA""",P,dm,L-D: 06:00-23:30,L-D: 06:00-23:30 (A),,,,,,
